name,count,uniques
wd-es-modules-babel-webdriver-manager-ava,304,191
wd-es-modules-babel-webdriver-manager-jasmine-assert,299,197
wd-typescript-ts-jest-webdriver-manager-jest-assert,317,199
wd-typescript-ts-jest-webdriver-manager-jest-expect,315,190
wd-typescript-ts-node-webdriver-manager-ava,304,198
wd-typescript-ts-node-webdriver-manager-jasmine-assert,291,188
wd-typescript-ts-node-webdriver-manager-jasmine-expect,298,204
webdriverio-commonjs-cucumber-assert,293,187
webdriverio-commonjs-jasmine-expect,294,199
webdriverio-commonjs-mocha-chai-expect,302,198
webdriverio-commonjs-mocha-chai-should,303,198
webdriverio-es-modules-babel-mocha-assert,320,202
webdriverio-typescript-ts-node-mocha-chai-expect,305,207
webdriverio-typescript-ts-node-mocha-chai-should,310,194
